"","X.1","Question","Answer","Speaker","Words_Q","Words_A"
"2612",1947,"
									   Someone has told me that the divorce is invalid if the divorce certificate does not mention its details, such as the addresses, contact numbers and the reason for the divorce. Is this true?
								","
									   It is not necessary in the validity of the divorce to have a certificate.
								","Hakeem","divorce","divorce"
"2613",1948,"
									   Can there be a divorce in temporary marriage?
								","
									   There is no divorce in temporary marriage. The husband can waive the remaining period of the contract. If he did, then she is no longer his wife.
								","Hakeem","divorce,marriage,wife","divorce,marriage,wife"
"2614",1949,"
									   If during iddah, both the husband and wife start talking to each other, will this be considered as a return to the marriage bond?
								","
									   There should be an expression of return, like actions or words, which indicates returning from the divorce to the relationship of marriage.
								","Hakeem","divorce,marriage","divorce,marriage"
"2615",1950,"
									   A man divorced his wife and wanted to get back together; does he require another marriage contract?
								","
									   If he wanted to get back to his marriage with her before the end of the waiting period, then there is no need for a second marriage contract. If this was after the end of the waiting period, then the marriage contract is necessary.
								","Hakeem","marriage,marriage,marriage","marriage,marriage,marriage"
"2616",1951,"
									   If during iddah both husband and wife start talking to each other over the phone; will it count as “ruju” and has the marriage been reinstated?
								","
									   The telephone conversation is not considered as a return unless their conversation included statements that refer to the resumption of the marriage; if it did, the wife has returned to the ties of marriage.
								","Hakeem","marriage,wife,marriage","marriage,wife,marriage"
"2617",1952,"
									   Seeing that the significance behind the iddah period is so that the father can be identified adequately if the woman becomes pregnant, and contraception almost eliminates the chances of pregnancy, is there any need of the iddah period when using contraception?
								","
									   The reason behind the waiting period is not necessarily identifying the father if the woman is pregnant. If this was the reason, then it would have been sufficient for Almighty Allah the Divine Legislator to consider one menstrual cycle as a waiting period and not any longer duration. Almighty Allah knows the actual reason behind such legislation. Therefore, the iddah must be observed even if contraception was used.
								","Hakeem","woman","woman"
"2618",1953,"
									   I had temporary marriage with a girl and did not consummate the marriage (i.e. we did have sexual relations without intercourse). Is it required for her to wait for iddah period?
								","
									   There is no need for the iddah, since the temporary marriage period ended without consummation.
								","Hakeem","marriage","marriage"
"2619",1954,"
									   Is the iddah period obligatory on a woman who used birth control pills during her previous marriage?
								","
									   If the marriage was consummated then observing <U+02BF>iddah is obligatory in all cases.
								","Hakeem","marriage","marriage"
"2620",1955,"
									   Does an adulterous woman observe the iddah of divorce, keeping in mind that the reason for her divorce was committing the sin of adultery with another man?
								","
									   If the marriage was consummated, then she should observe the iddah when her husband divorces her even in the mentioned scenario.
								","Hakeem","marriage,divorce","marriage,divorce"
"2621",1956,"
									   If the woman is divorced and no sexual intercourse took place during last three months, then is it necessary for her to observe iddah?
								","
									   If the marriage is consummated i.e. intercourse took place even once, then she must observe the iddah.
								","Hakeem","marriage","marriage"
"2622",1957,"
									   What is the period of iddah after divorce?
								","
									   The iddah of a divorced woman is three durations of purity between the menstruation periods, the first of which is when the divorce takes place. The waiting period ends when she sees the menstrual blood for the third time after the divorce.
								","Hakeem","divorce,woman,divorce,divorce","divorce,woman,divorce,divorce"
"2623",1958,"
									   What is the iddah for the temporary marriage?
								","
									   If the temporary marriage ended during her menstruation period, she must wait for two complete cycles and her iddah is finished when she sees blood for the third time. If the temporary marriage ends when she is not in her menses period, she should wait for one complete cycle and her iddah is finished when she sees blood for the second time.
								","Hakeem","marriage,marriage","marriage,marriage"
"2624",1959,"
									   If a woman during her iddah has a miscarriage, is her iddah completed? If she is forced to have an abortion to save her life, will the iddah end?
								","
									   The waiting period ends with a miscarriage or abortion, even in cases where abortion is prohibited.
								","Hakeem","abortion,abortion","abortion,abortion"
"2625",1960,"
									   If a girl underwent temporary marriage without sexual intercourse, but they had a physical relationship, will the girl have to observe the iddah after the marriage has ended? Can she have temporary marriage with the same person again without observing iddah?
								","
									   It is permissible for a woman who was married to a man temporarily to marry him again without the need to observe the iddah, provided that she did not consummate a marriage contract with another man after the first temporary marriage.
								","Hakeem","woman,marriage,marriage","woman,marriage,marriage"
"2626",1961,"
									   Is it obligatory on the husband to stay with the wife during the iddah period?
								","
									   It is obligatory on the husband to provide residence for his wife during the waiting period of a revocable divorce.
								","Hakeem","wife,divorce","wife,divorce"
"2627",1962,"
									   If a man waives the remaining time in a temporary marriage which was consummated, then after a few days the same man and woman engage in another temporary marriage which is not consummated, will the women have to observe the waiting period after it ends?
								","
									   When the marriage is consummated and the time of the temporary marriage is finished or the husband forgoes the remaining time of marriage, if the couple wanted to remarry again then the woman does not have to undertake the waiting period, iddah. If the woman wanted to marry another man, she is not permitted to do so unless she observes the waiting period of the marriage with the previous husband.
								","Hakeem","marriage,marriage,marriage,woman,woman,marriage","marriage,marriage,marriage,woman,woman,marriage"
"2628",1963,"
									   If the husband agreed to a khula divorce and then he said that he did not want any payment, will the khula be in order?
								","
									   It is a condition in the khula divorce that the wife pays her husband in return for getting a divorce from him. Without such payment, a regular type of divorce must take place instead.
								","Hakeem","khul,divorce,wife,divorce,divorce","khul,divorce,wife,divorce,divorce"
"2629",1964,"
									   What is the difference between the conventional divorce and the divorce of khula?
								","
									   If the wife hates her husband in such a way that she does not fulfill her marital religious obligations with her husband or she threatens him in a serious way to stop fulfilling such duties, then it is permissible to divorce her by way of khula, by her paying him in exchange for him giving her the divorce. In this case, the husband cannot return to the marital relations during the waiting period (the iddah). In other cases, the divorce may not be by khula, like when they both agree to drop the husband’s financial obligations for the wife in exchange for him divorcing her. The divorce in this case is conventional, i.e. the man has the right to return to the marital relation during the waiting period.
								","Hakeem","wife,divorce,khul,divorce,divorce,khul,wife,divorce","wife,divorce,khul,divorce,divorce,khul,wife,divorce"
"2630",1965,"
									   Does the khula and mubarat divorce require witnesses?
								","
									   All types of divorce, including khula and mubarat, are not valid unless there are qualified witnesses present, and the other conditions must also be fulfilled, such as the woman not being in her menstrual period and not having had sexual intercourse since the last menstrual period.
								","Hakeem","divorce,khul,woman","divorce,khul,woman"
"2631",1966,"
									   In what situations can khula divorce take place and how?
								","
									   The khula divorce is not valid unless the woman hates her tie of marriage with her husband in such a way that her hatred leads her to not fulfilling her conjugal duties. Simply not liking him without reaching such a level of resentment does not suffice for bringing about the divorce by khula. When all conditions are met, the woman can start the divorce formula by saying ""kh<U+0101>la<U+02BE>tuka <U+02BF>al<U+0101>..."" (I form a khula divorce for the amount of...), and she states the amount of money that she is willing to give him. The husband says afterwards with his intention of accepting the khula<U+02BE> divorce, ""Radh<U+012B>tu bi-dh<U+0101>lik"" (I accept that). If she does not hate him to the level of refusing his marital rights, the khula divorce cannot be established, and the normal revocable divorce can take place then, which does not become irrevocable unless the waiting period is completed.
								","Hakeem","khul,divorce,woman,marriage,divorce,khul,woman,divorce,khul,divorce,khul,divorce,khul,divorce,divorce","khul,divorce,woman,marriage,divorce,khul,woman,divorce,khul,divorce,khul,divorce,khul,divorce,divorce"
"2632",1967,"
									   I took a khula divorce and a subsequent court divorce due to severe domestic violence. I have had no physical relationship with my ex-husband for more than two years. I have already had two menstrual cycles since the khula. Is the observance of the <U+02BF>iddah obligated on me?
								","
									   The commencement of the iddah is from the time of the divorce until you see the third menstrual period. You must observe this iddah period if the marriage was consummated.
								","Hakeem","divorce,marriage","divorce,marriage"
"2633",1968,"
									   Is the khula divorce revocable?
								","
									   No, the khula divorce is irrevocable, so they cannot return to each other in marriage unless they marry each other with a new marriage contract. It is considered as one divorce.
								","Hakeem","khul,divorce,marriage,marriage,divorce","khul,divorce,marriage,marriage,divorce"
"2634",1969,"
									   What is the iddah period for khula divorce?
								","
									   The waiting period is three durations of purity between the menstruation periods, the first of which is when the divorce takes place. The waiting period ends when she begins her third menstrual period after the divorce. It is better that she waits until she finishes the third menstrual period before remarrying.
								","Hakeem","divorce,divorce","divorce,divorce"
"2635",1970,"
									   A girl was divorced with the divorce of khula through a representative of the husband, and it was made a condition that the girl should surrender half of her dower. The divorce was pronounced and certificate issued, and all other monetary transactions were cleared, but the girl still has not given half of the dower. After observation of the waiting period, she then married another man. Please advise whether the divorce is valid, considering she has not paid the agreed half of the dower, and if it is void what should be done regarding her second marriage?
								","
									   The divorce is valid. She owes him the agreed amount. He is allowed to demand it from her.
								","Hakeem","divorce","divorce"
"2636",1971,"
									   If one jokingly calls his wife 'mother', will this be considered as dhihar?
								","
									   Such ways of calling the wife as mother does not have any religious consequences.
								","Hakeem","wife,mother","wife,mother"
"2639",1974,"
									   A manâ€™s mother died from the disease of female genital mutilation in his youth. Then he made a covenant (ahd) with Allah Almighty to become a professional gynecologist, and treat women with similar problems. Is this covenant valid and obligatory to observe? Is it allowed for a Muslim to work as a gynecologist or obstetrician?
								","
									   The said covenant (ahd) is correct and one should act upon it if the profession is required to prevent harm from reaching Muslim women. It is not obligatory to act on it if there are enough Muslim female physicians.
It is permissible take up such a profession, and it is permissible to deliver babies when necessary.
								","Hakeem","women,female","women,female"
"2649",1984,"
									   Is there any kaffarah for a lady to pull out her hair in grief and mourning?
								","
									   It is prohibited for the woman to do so. The kaffarah for doing so is either giving ten needy people 900 grams of food each - staple food items such as dates, flour and rice - or clothing them; if neither of these are possible, then she should fast for three consecutive days.
								","Hakeem","woman","woman"
"2650",1985,"
									   Is it prohibited to tear one’s clothes? And is there any kaffarah if one does it?
								","
									   It is prohibited for the man to tear his clothes in mourning over his child or wife, and the kaffarah for doing so is giving ten needy people 900 grams of food each - staple food items such as dates, flour and rice - or clothing them; if neither of these are possible, then he should fast for three consecutive days. Tearing the clothes for other than that is not prohibited, like a man tearing his clothes in mourning for his brother, or a woman tearing her clothes in mourning her husband, son, or brother.
								","Hakeem","wife,woman","wife,woman"
"2652",1987,"
									   If a woman was pregnant for 10-15 days and she had an abortion, then will she be required to pay kaffarah, and how much?
								","
									   It is obligatory to pay the kaffarah for committing abortion. It is the same as the kaffarah of deliberately taking the life of an adult, which is freeing a slave, feeding sixty needy believers, and fasting for two consecutive months.
								","Hakeem","abortion","abortion"
"2743",2078,"
									   My paternal uncle passed away recently. He did not have any children of his own, and none of his brothers and sisters are alive either. He does have nephews and nieces, including us. He has five nieces (myself and my sisters) from one brother, two nephews and a niece from another brother, and two nephews and three nieces from a sister. How will the inheritance be divided?
								","
									   The inheritance is divided into five shares  two shares for you and your sisters equally, two shares for the offspring of your uncle, the males receiving twice as much as the females, and one share for the offspring of your aunt, the males receiving twice as much as the females.
								","Hakeem","female,female","female,female"
"2744",2079,"
									   If a woman has conceived a child before marriage and she marries the same man whose child she is bearing, what will be the ruling about the child?
								","
									   The said child is that of the father by whose sperm he was conceived, as well as being the mother's child. The child belongs to both of them, but does not inherit the father as he was born illegitimately.
								","Hakeem","mother","mother"
"2748",2083,"
									   If the husband dies just after the marriage contract, but before the wedding ceremony and consummation of the marriage, does the wife inherit from him?
								","
									   The wife inherits her husband once the marriage contract took place. However, if the man was ill – and clearly appeared to be so – when the marriage contract took place, she will inherit from him only if they consummated the marriage. If the marriage was not consummated in this case, she does not inherit from him after his death, and there is no dower, and there is no need for her to observe the waiting period (Iddah).
								","Hakeem","wife,marriage,marriage,marriage,marriage","wife,marriage,marriage,marriage,marriage"
"2751",2086,"
									   My father has recently died. My grandfather and grandmother, my mother, 4 brothers and 3 sisters are the inheritors. How can we divide his Inheritance?
								","
									   The inheritance is divided as follows  Each one of parent’s share is one-sixth. The wife’s share is one-eighth from all the inheritance except the worth of lands if any. The children take the rest of inheritance where each male’s share is twice as the share of the female.
								","Hakeem","wife,female","wife,female"
"2752",2087,"
									   If the inheritance of a deceased is to be divided between his sons and daughters, how is it divided? Does the daughter get her share from the land and buildings, or just the buildings?
								","
									   The inheritance should be divided in a way that each daughter has half the amount of each son. The daughters inherit from the land and buildings, similar to the sons. However, the widowed wife does not inherit from the land.
								","Hakeem","daughter,daughter,widow,wife","daughter,daughter,widow,wife"
"2755",2090,"
									   My grandfather purchased a property. My grandfather had 9 children. Soon, unexpectedly, my grandfather passed away. At the time of my grandfather’s death, all his children were alive. The property was not distributed to them, but was transferred to my grandmother’s name. After 35 years, my grandmother died. At the time of her death, two of her children had already died and had children of their own. It has been more than 5 years since my grandmother died. The property is managed by one of her sons and he has taken the position that the families of his two deceased siblings are not entitled to any inheritance. Could you please let me know if the inheritance should be divided and distributed to all children, including the children of the deceased children?
								","
									   If the sons and daughters of your grandfather gifted the property that they inherited from their father to their mother - your grandmother - and she took possession of this property, then she owned the property. When she passed away, those grandchildren whose parents died before the grandmother, do not inherit from the property. If the property passed to your grandmother as a legal formality, without her sons and daughters actually waiving their rights to it and giving it to her, then those grandchildren will have a share of the property.
								","Hakeem","daughter,mother,mother,mother,mother,daughter","daughter,mother,mother,mother,mother,daughter"
"2759",2094,"
									   My father has recently died. My grandfather and grandmother, my mother, 4 brothers and 3 sisters are the inheritors. How can we divide his Inheritance?
								","
									   The inheritance is divided as follows  Each one of parent’s share is one-sixth. The wife’s share is one-eighth from all the inheritance except the worth of lands if any. The children take the rest of inheritance where each male’s share is twice as the share of the female.
								","Hakeem","wife,female","wife,female"
"2760",2095,"
									   If the inheritance of a deceased is to be divided between his sons and daughters, how is it divided? Does the daughter get her share from the land and buildings, or just the buildings?
								","
									   The inheritance should be divided in a way that each daughter has half the amount of each son. The daughters inherit from the land and buildings, similar to the sons. However, the widowed wife does not inherit from the land.
								","Hakeem","daughter,daughter,widow,wife","daughter,daughter,widow,wife"
"2761",2096,"
									   My paternal uncle passed away recently. He did not have any children of his own, and none of his brothers and sisters are alive either. He does have nephews and nieces, including us. He has five nieces (myself and my sisters) from one brother, two nephews and a niece from another brother, and two nephews and three nieces from a sister. How will the inheritance be divided?
								","
									   The inheritance is divided into five shares  two shares for you and your sisters equally, two shares for the offspring of your uncle, the males receiving twice as much as the females, and one share for the offspring of your aunt, the males receiving twice as much as the females.
								","Hakeem","female,female","female,female"
"2763",2098,"
									   If the husband dies just after the marriage contract, but before the wedding ceremony and consummation of the marriage, does the wife inherit from him?
								","
									   The wife inherits her husband once the marriage contract took place. However, if the man was ill – and clearly appeared to be so – when the marriage contract took place, she will inherit from him only if they consummated the marriage. If the marriage was not consummated in this case, she does not inherit from him after his death, and there is no dower, and there is no need for her to observe the waiting period (Iddah).
								","Hakeem","wife,marriage,marriage,marriage,marriage","wife,marriage,marriage,marriage,marriage"
"2765",2100,"
									   If a woman has conceived a child before marriage and she marries the same man whose child she is bearing, what will be the ruling about the child?
								","
									   The said child is that of the father by whose sperm he was conceived, as well as being the mother's child. The child belongs to both of them, but does not inherit the father as he was born illegitimately.
								","Hakeem","mother","mother"
"2769",2104,"
									   My grandfather purchased a property. My grandfather had 9 children. Soon, unexpectedly, my grandfather passed away. At the time of my grandfather’s death, all his children were alive. The property was not distributed to them, but was transferred to my grandmother’s name. After 35 years, my grandmother died. At the time of her death, two of her children had already died and had children of their own. It has been more than 5 years since my grandmother died. The property is managed by one of her sons and he has taken the position that the families of his two deceased siblings are not entitled to any inheritance. Could you please let me know if the inheritance should be divided and distributed to all children, including the children of the deceased children?
								","
									   If the sons and daughters of your grandfather gifted the property that they inherited from their father to their mother - your grandmother - and she took possession of this property, then she owned the property. When she passed away, those grandchildren whose parents died before the grandmother, do not inherit from the property. If the property passed to your grandmother as a legal formality, without her sons and daughters actually waiving their rights to it and giving it to her, then those grandchildren will have a share of the property.
								","Hakeem","daughter,mother,mother,mother,mother,daughter","daughter,mother,mother,mother,mother,daughter"
"2770",2105,"
									   Are the wives of the Prophet included in Ahlulbayt (peace be upon them) according to the 33rd verse of Surah al-Ahzab?
								","
									   The verse does not include the wives of the Prophet (peace be upon him and his progeny) since the wife – based on Arabic custom – is not included in the term “household” usually. This term refers to the genealogy of the man and his relatives by blood. It was narrated in the book “Lisan ul-Arab” that Ibn Sayyidah – an expert in Arabic linguistics – stated that the term “ahl” refers to the tribe of the man and his blood relatives. Apparently, this meaning was clear during the first era of Islam, since history did not mention that the aforementioned term is given to the wives by the companions of the Prophet. It was not used by the wives of the Prophet themselves. Aisha – for example – led an army to fight Imam Ali (peace be upon him) and her supporters were trying to gain the support of Muslims by any possible mean. Yet they did not mention that she is a member of the Ahlulbait. It appears from numerous traditions narrated by Muslims in general that the Messenger of Allah used this phrase to refer to Ali, Hasan, Husain and Fatima (peace be upon them). Ahmed bin Hanbal narrated in his book (Al-Musnad) from Umm Salama that the Messenger of Allah (peace be upon him and his progeny) told Fatima (peace be upon her), “Call for me your husband and your two sons”. She did so, and he then placed a blanket over them and then he placed his hand over them and said  ”O Lord, these are the Aal of Mohammad, so place your blessings on Mohammad and the Aal of Mohammad. All praise and glory belong to you.” Umm Salama raised the blanket to join with them. The Messenger of Allah prevented her and said  “Your future is good”. Many other traditions narrated by Sunni scholars mentioned clearly that the noble verse (33 33) was revealed while they were under the blanket. In addition to that, what some of the wives of the Prophet (peace be upon him) did clearly indicates that they were not purified from committing sins; some verses of chapter 66 (al-Tahreem) were revealed condemning Aisha and Hafsa since they aided one another against the Messenger of Allah. It was also narrated that one of the Prophet’s wife, Qutaila bint Qais left the religion of Islam after the death of the Prophet and got married to Ikrama bin Abi Jahl.
								","Hakeem","wives,wife,wives,wives,wives,wife","wives,wife,wives,wives,wives,wife"
"2772",2107,"
									   Some people say that Islam is not something which should be connected with a family, like the family of the Prophet (peace be upon him), and they use this for their argument against the Ahlulbait (peace be upon them). Please comment on this.
								","
									   Our connection to the Ahlulbait (peace be upon them) is not emotional; rather, it is religious and based on their infallibility. Almighty Allah has ordered us to follow them. He said  ""Allah's wish is but to remove uncleanness far from you, O Ahlulbait, and cleanse you with a thorough cleansing""(33 33). The Messenger of Allah (peace be upon him) ordered us to follow them. He said  ""I am leaving amongst you the two weighty things, the book of Allah, and my progeny"". In addition to that, there are narrations about each and every one of the Imams of the Ahlulbait specifically. As an example, the Messenger of Allah said  “Ali is your Wali (i.e. guardian) after me” and he said  “Whoever’s master I am, Ali is his master”. These and other religious texts show that these people have special characteristics that enable them to take their position of imamate and leadership. So the issue is not emotional, nor is it based on a tribe or a family. On the other hand, most believers in the Sunni sect accepted the legitimacy of the caliphate of the Umayyads and Abbasids, although both of these states were established and continued on the basis of inheritance and without any entitlement at all.
								","Hakeem","family","family"
"2875",2210,"
									   How can we prove Imamate from the Quran? If Imamate is such a backbone for Shia Islam and we believe that if one does not accept the Wilayah of Imam Ali (peace be upon him), he is at loss, then why did not Allah mention this directly in the Holy Quran, thus avoiding major disputes? How do we answer the objection that there is no proof about the Imamate of Imam Ali (peace be upon him) being essential?
								","
									   This question presents important issues that require an explanation, since this is one of the most important fallacies that the enemies of the Ahlulbait (peace be upon them) present. We would like to draw your attention to a few important issues in order to clarify the truth Firstly  Doubting the Imamate of the Ahlulbait just because it is not mentioned in the Holy Book is in reality doubting the truthfulness of the Messenger of Allah (peace be upon him and his progeny) and belittling his position in being an essential source of religious laws and a speaker of the truth, which in turn raises a big question on the credibility of Islam as a religion and the Holy book as a divine text that “falsehood cannot come at it from before it or from behind it,” as the Quran states clearly. But rather, the Quran itself presents the Messenger of Allah and his conduct as the truth that is not associated with any falsehood, misguidance and forgetfulness. This is explicitly mentioned in the Holy Quran, when the Almighty stated, “Nor does he speak of (his own) desire. It is naught save an inspiration that is inspired,” (Quran 53 3-4) and “whatsoever the Messenger gives you, take it, and whatsoever he forbids, abstain (from it),” (Quran 7 59) and also, “But nay, by thy Lord, they will not have (true) faith until they make thee judge of what is in dispute between them and find within themselves no dislike of that which thou decides, and submit with full submission.”(Quran 65 4) Based on this, a Muslim should research about Imamate as well as the position of the Sunnah in its regards, just as he looks for the position of the Sunnah with respect to the religious obligations like the prayers, the fast, pilgrimage and the like, as these essential obligations are not mentioned in the Holy Book with detail, but the Sunnah explained the ways to perform them. It is sufficient to prove the Imamate by referring to the trusted books of narrations of the Sunnis, like the book of al-Bukhari and the book of Muslim and all the authenticated books in which they included narrations of the Prophet (peace be upon him and his progeny) that refer in a clear way to the leadership of the Ahlulbait (peace be upon them) after the Prophet, like when he said  “Whosoever’s master I am, Ali is his master.” Also  “Ali is your wali (leader) after me.” And also, when he said to Ali (peace be upon him)  “You are to me like Aaron was to Moses, but there is no prophet after me,” and the like in innumerable narrations. There are other narrations that relate to the religious authority of the Ahlubait (peace be upon them) in general, like  “I am leaving among you two weighty things  the Book of Allah and my household; as long as you are attached to them both, you shall never be misguided.”Secondly  there are verses of the Holy Quran which, as the narrations indicate, were revealed in respect of Imam Ali (peace be upon him). They are narrated by Sunni Muslims. They also indicate in a clear way the Imamate of Imam Ali (peace be upon them) like when Almighty Allah said, “Your guardian can be only Allah, and His messenger and those who believe, who establish worship and pay the alms, while they bow down (in prayer).” (Quran 55 5) And even the verse, “Obey Allah, and obey the messenger and those of you with authority.” (Quran 59 4) They indicate in a clear way that those in authority whose obedience is necessary are infallible since – based on the verse – one should obey them as one obeys Almighty Allah and likewise the Messenger of Allah, and nobody fulfills this condition except the Imams of the Ahlulbait, whom Almighty Allah purified with a thorough purification as per the verse 33 33. Furthermore, Muslims have unanimously agreed on the righteousness of the Imams of the Ahlulbait, their highness, the strength in their faith, their knowledge in the affairs of religion, as this clearly appears to the individual who looks at their history and biography. Could any Muslim accept that Almighty Allah would order Muslims to obey those in authority by applying this title on anyone that assumes power, whether he does this by force or through inheritance, even if he committed the most heinous of crimes like Yazid bin Mu’awiyah and similar despots? Are the aforementioned verses not sufficient in proving the Imamate of the Ahlulbait from the Quran for the fair-minded searcher for the truth?Thirdly  What you have mentioned – that if the Holy Quran had named Imam Ali (peace be upon him) clearly as the successor to the Prophet (peace be upon him and his progeny) there would be no conflict between Muslims – is not correct. There are a number of verses that clearly describe certain rulings, and, despite that, Muslims did not agree on them; an example of such a case is the verse of ablution in which the way of performing ablution has been clearly explained, and there is no doubt that the verse is clear in its meaning when it was revealed, and the Messenger of Allah (peace be upon him and his progeny) used to perform wudhu repeatedly in the presence of Muslims. Despite all this, there was a difference in opinion in understanding it. Another example is the verses of divorce which indicate that the three consecutive divorces pronounced in one place and time is not considered as three divorces – by which a man cannot return to the wife – but some Muslim jurists regard this type of divorce as valid and a man cannot return to his wife thereafter. There are many other such examples in jurisprudential issues, although all Muslims base their conclusions on the Holy Book. Furthermore, if one looks in the biography of the Prophet, he could clearly conclude that some of his companions were not obeying him or even respecting him properly. They used to dare to disobey him and not care about his orders; it is sufficient to mention some incidents from the trusted books of narrations of the Sunnis  (1) Most of the Muslims fled from a number of battles that were led by the Messenger of Allah, like Uhud, Hunayn and Khaybar, whereas the Holy Book states clearly the prohibition to do so and that whoever does so will be punished in Hell for eternity. Almighty Allah said  “Whoso on that day turneth his back to them, unless manoeuvring for battle or intent to join a company, he truly hath incurred wrath from Allah, and his habitation will be hell, a hapless journey's end.”(Quran 16 8) (2) What took place during the “tragedy of Thursday”  Abdullah bin Abbas – as it is narrated in the Sunni books of narrations like the Musnad of Ahmad – said, weeping, “The day of Thursday! And what day was Thursday!! The Messenger of Allah said to us  “Bring to me a broad bone [to be used to write on] and ink, so I may write for you something that you shall not be misguided after it is written.” Umar said  “The Messenger of Allah is incoherent.” In some of the narrations, they were arguing; some of them were in favor of Umar and some others were saying, “Bring for the Messenger of Allah what he asked for.” The Messenger of Allah said then  “Leave me!! There should not be a fight in my presence.” From the said incident one can conclude that the refusal of the Prophet to write what he wanted to write was to preserve the dignity of Prophethood, since it is not appropriate for the Prophet to order for something in a clear and direct way and Muslim differ in their opinions whether to obey him or not, since there should be no dispute after the order has been issued. From this, one can conclude the reason why the name of Imam Ali (peace be upon him) was not mentioned in the Holy Book; Almighty Allah knew that there were some people who wanted to rule and were ready to disobey Allah and His Messenger in an open way, and they had their supporters who were willing to help and encourage them. If the Holy Quran was to mention Imam Ali’s name, then they would doubt the Holy Book in the same way as they have doubted the Messenger of Allah. This would result in the rejection or alteration of the Holy Book.
								","Hakeem","divorce,divorce,divorce,wife,divorce,wife","divorce,divorce,divorce,wife,divorce,wife"
"2877",2212,"
									   What is the relevance of the concept of Wilayat (authority) of the Imams in our lives today?
								","
									   We can comment on your question by stating the following  1. The Imamate of the Imams (peace be upon them) has been legislated by Almighty Allah for people to observe. Every Muslim must obey all that has been proven to be divinely legislated obligations without considering the immediate benefit of the law on his everyday life since believing in a religion is believing in all what is proven to be part of it. 2. Believing in the Wilayat of the Ahlulbait (peace be upon them) is following them and observing their teachings. This has a great effect on the way a believer deals with day-to-day matters based on the teachings and the guidelines that originate from them. We can see that amongst the characteristics of the followers of the Ahlulbait (peace be upon them) by which they are known today is their condemnation of terrorism and tyranny against innocents, especially children, women and old people, and this is not but a reflection of their attachment with the humane teachings of the Ahlulbait (peace be upon them).
								","Hakeem","women","women"
"2932",2267,"
									   What do Muslims think about cosmetics? What kind of cosmetics can they use?
								","
									   There is no specific kind that is forbidden to use. However, it is unlawful for a woman to reveal her beauty in the presence of non-mahram men, except for the kohl applied on eyes and the ring on the finger.
								","Hakeem","woman,mahr","woman,mahr"
"2938",2273,"
									   I am a new female convert and am wondering if it is permitted to wear clear nail polish and mascara. Also, am I permitted to wear color or am I only permitted to wear black.
								","
									   It is not permissible for a woman to show her embellishment to non-Mahram men, other than applying kohl, wearing a ring or a bracelet. It is permissible to wear colored clothes.
								","Hakeem","woman","woman"
"2946",2281,"
									   Is it permissible for males and females to pluck their eyebrows?
								","
									   Lightening the eyebrows for the sake of beautifying is permissible for women. If it is to imitate women, then it is prohibited for men.
								","Hakeem","women,women","women,women"
"2971",2306,"
									   What do Muslims think about cosmetics? What kind of cosmetics can they use?
								","
									   There is no specific kind that is forbidden to use. However, it is unlawful for a woman to reveal her beauty in the presence of non-mahram men, except for the kohl applied on eyes and the ring on the finger.
								","Hakeem","woman,mahr","woman,mahr"
"2972",2307,"
									   I am a new female convert and am wondering if it is permitted to wear clear nail polish and mascara. Also, am I permitted to wear color or am I only permitted to wear black.
								","
									   It is not permissible for a woman to show her embellishment to non-Mahram men, other than applying kohl, wearing a ring or a bracelet. It is permissible to wear colored clothes.
								","Hakeem","woman","woman"
"2975",2310,"
									   Is it permissible for males and females to pluck their eyebrows?
								","
									   Lightening the eyebrows for the sake of beautifying is permissible for women. If it is to imitate women, then it is prohibited for men.
								","Hakeem","women,women","women,women"
"2978",2313,"
									   A woman wishes to work for a TV channel as an anchor or the like, and she will be required to apply makeup; is she allowed to do so?
								","
									   It is not permissible for women to expose her face while having make-up in the presence of non-Mahram men in the mentioned case and in all cases.
								","Hakeem","women","women"
"2979",2314,"
									   Am I allowed to apply perfume when I go outside?
								","
									   A woman is not allowed to apply perfume that can be smelled by non-mahram men.
								","Hakeem","woman,mahr","woman,mahr"
"2981",2316,"
									   Is it allowed to put on some basic make-up on, that includes just the foundation and lipstick, as is common in our society amongst women?
								","
									   It is prohibited to do so even if it is commonly used by society. It is unlawful for a woman to reveal her beauty in the presence of non-mahram men, except for the kohl applied on eyes and the ring on the finger.
								","Hakeem","woman,mahr","woman,mahr"
"2986",2321,"
									   I want to ask you, how many grams of gold can a female wear on her body? Or is it unlimited?
								","
									   There is no religious limit for the weight of gold that a woman can wear.
								","Hakeem","woman","woman"
"2989",2324,"
									   I am a male in my mid-thirties and have recently reverted to Islam, although my family has not. I have been with my partner for 15 years and have three children together, but we have never married. Is this seen as prohibited by Almighty Allah?
								","
									   There must be a marital relation between you two. Without marriage, sexual relationship with her is prohibited.","Hakeem","marriage","marriage"
"2994",2329,"
									   I am western and converted to Islam, my parents are not Muslims, and I am of illegitimate birth. Can I lead a congregational prayer?
								","
									   If the sexual relations that lead to having a baby was based on a form of marriage - even if it was not Islamic, the child born from such a marriage will be considered to be from legitimate birth, and it is permissible for such a person to lead the congregational prayer. If the aforementioned relation of the parents was not based on such a marriage, then the child is not considered from legitimate birth and cannot lead the prayers.
								","Hakeem","marriage,marriage,marriage","marriage,marriage,marriage"
